,0
287,5358
288,5359
289,5360
290,5361
291,5362
292,5363
293,5364
294,5365
295,5366
296,5367
297,5368
298,5369
299,5370
300,5371
301,5372
302,5373
303,5374
304,5375
305,5376
306,5377
307,5378
308,5379
309,5380
310,5381
311,5382
312,5383
313,5384
314,5385
315,5386
316,5387
317,5388
318,5389
319,5390
320,5391
321,5392
322,5393
323,5394
324,5395
325,5396
326,5397
327,5398
328,5399
329,5400
330,5401
331,5402
332,5403
333,5404
334,5405
335,5406
336,5407
337,5408
338,5409
339,5410
340,5411
341,5412
342,5413
343,5414
344,5415
345,5416
346,5417
347,5418
348,5419
349,5420
350,5421
351,5422
352,5423
353,5424
354,5425
355,5426
356,5427
357,5428
358,5429
359,5430
360,5431
361,5432
362,5433
363,5434
364,5435
365,5436
366,5437
367,5438
368,5439
369,5440
370,5441
371,5442
372,5443
373,5444
374,5445
375,5446
376,5447
377,5448
378,5449
379,5450
380,5451
381,5452
382,5453
383,5454
384,5455
385,5456
386,5457
387,5458
388,5459
389,5460
390,5461
391,5462
392,5463
393,5464
394,5465
395,5466
396,5467
397,5468
398,5469
399,5470
400,5471
401,5472
402,5473
403,5474
404,5475
405,5476
406,5477
407,5478
408,5479
409,5480
410,5481
411,5482
412,5483
413,5484
414,5485
415,5486
416,5487
417,5488
418,5489
419,5490
420,5491
421,5492
422,5493
423,5494
424,5495
425,5496
426,5497
427,5498
428,5499
429,5500
430,5501
431,5502
432,5503
433,5504
434,5505
435,5506
436,5507
437,5508
438,5509
439,5510
440,5511
441,5512
442,5513
443,5514
444,5515
445,5516
446,5517
447,5518
448,5519
449,5520
450,5521
451,5522
452,5523
453,5524
454,5525
455,5526
456,5527
457,5528
458,5529
459,5530
460,5531
461,5532
462,5533
463,5534
464,5535
465,5536
466,5537
467,5538
468,5539
469,5540
470,5541
471,5542
472,5543
473,5544
474,5545
475,5546
476,5547
477,5548
478,5549
479,5550
480,5551
481,5552
482,5553
483,5554
484,5555
485,5556
486,5557
487,5558
488,5559
489,5560
490,5561
491,5562
492,5563
493,5564
494,5565
495,5566
496,5567
497,5568
498,5569
499,5570
500,5571
501,5572
502,5573
503,5574
504,5575
505,5576
506,5577
507,5578
508,5579
509,5580
510,5581
511,5582
512,5583
513,5584
514,5585
515,5586
516,5587
